data;petr4;bbdc3;vale5;ambv4;itub4
2005-04-14;-0,026836735;-0,03358209;-0,054545455;-0,020804438;-0,02338785
2005-04-15;-0,0164622;0,003861004;0,001659751;-0,008484419;-0,016483648
2005-04-18;-0,009701493;-0,016923077;0,022369511;-1,42855E-05;0,011919241
2005-04-19;0,033372807;0,010328639;0,024311183;0,001428571;0,024038462
2005-04-20;-0,012918012;-0,018742255;-0,014240506;-0,010699001;-0,021830986
2005-04-21;;;;;
2005-04-22;;;;;
2005-04-25;0,029967777;-0,007092199;0,026461039;0,024637681;0,028571429
2005-04-26;0,010532902;0,03968254;-0,013917444;0,009915134;0,027777778
2005-04-27;-0,027863777;0,013740458;-0,017481957;-0,007016708;0,015788288
2005-04-28;-0,024416136;-0,043674699;-0,054848188;-0,014104372;-0,052127447
2005-04-29;0,028291621;0,011023622;0,01208981;0,008583691;0,033918129
2005-05-02;-0,003174603;0,061214953;0,001535836;-0,009971631;0,002648077
2005-05-03;-0,00403397;-0,023107546;-0,002385415;0,002908434;-0,024130926
2005-05-04;0,015028779;0,034586466;0,022886422;0,017142857;0,043232865
2005-05-05;0,01858658;-0,00247093;-0,023209217;-0,016867978;-0,013303769
2005-05-06;0,017835052;0,00393414;0,015384615;0,004300061;-0,004494382
2005-05-09;0,001721868;0,032656023;0,01010101;0,001564723;-0,002257336
2005-05-10;-0,022244692;0,010260014;-0,021833333;0,005538986;-0,033936652
2005-05-11;0,002068252;-0,026154702;-0,013460556;-0,011228814;-0,009344262
2005-05-12;-0,019607843;-0,028571429;-0,041450777;-0,005499607;-0,026027754
2005-05-13;-0,026315789;0,014705882;-0,018018018;0,012783683;0,012135922
2005-05-16;0,013621622;0,02173913;0,048807339;0,014040562;0,014388489
2005-05-17;0,025490614;-0,007234043;0,006822953;-0,006993007;0,004728132
2005-05-18;0,009880395;0,028718388;0,047784535;0,021126761;0,007035294
2005-05-19;0,009371782;0,006805556;0,00331675;-0,001365517;-0,001144887
2005-05-20;0,001938578;-0,027452062;-0,022975207;0,002057983;-0,005847953
2005-05-23;-0,020875764;-0,034042553;-0,001522585;-0,004824259;-0,011764706
2005-05-24;0,018200728;0,017621145;0,030159268;-0,005540166;-0,002380952
2005-05-25;0,007660878;0,005483405;-0,014802632;0,008356546;0,002386635
2005-05-26;;;;;
2005-05-27;;;;;
2005-05-30;0,004960317;0,008645533;0,008431146;0,000165975;0,008274427
2005-05-31;-0,007403751;0;-0,024590164;-0,004176347;-0,005838355
2005-06-01;0,030333168;0,007142857;0,036134454;0,061339672;0,028764246
2005-06-02;0,004826255;0,012165865;0,017518248;0,012215385;0,05509427
2005-06-03;-0,001152738;0,016830295;0,006376534;0,009970514;-0,001913043
2005-06-06;-0,010867475;0,006896552;-0,022176461;-0,014296464;-0,011151769
2005-06-07;-0,025765678;0,01369863;-0,028025271;-0,010687023;-0,019823789
2005-06-08;0,000998004;-0,021756757;-0,008333333;0,009259259;0,001123595
2005-06-09;0,008973081;-0,012294516;-0,020168067;0,019877676;-0,005611672
2005-06-10;0,004940712;0,006993007;0,013379074;0,008245877;-0,002257336
2005-06-13;-0,005309735;-0,012777778;-0,003046716;0,016356877;-0,003393665
2005-06-14;0,018189007;0,034046145;0,016129032;0,035844916;0,005675369
2005-06-15;0,009223301;-0,021088435;0,002506266;0,029519774;-0,014672686
2005-06-16;0,014911015;0,017790132;0,018666667;0,032789134;-0,003436426
2005-06-17;0,020853081;0,015703946;0,017670157;-0,034272051;0,008275862
2005-06-20;0,014856082;0,008201129;-0,017845659;0,00261348;-0,003647971
2005-06-21;-0,003751144;-0,01320176;-0,020952693;-0,004664563;-0,013707094
2005-06-22;0,010193774;-0,007432432;0,001504765;0,006202619;0,003921023
2005-06-23;-0,016454545;-0,002042206;-0,035893155;0,008219178;-0,024728449
2005-06-24;-0,015620667;0,001364256;-0,012987013;-0,020380435;0,002132701
2005-06-27;0,040375587;0,021934605;0,028947368;0,015256588;0,016788839
2005-06-28;-0,011732852;0,029196107;0,023017903;-0,015710383;0,01627907
2005-06-29;-0,008127854;-0,002590674;-0,013833333;0,007633588;-0,009405034
2005-06-30;-0,012061504;0,040167474;0,002873078;-0,013085399;-0,00205595
2005-07-01;0,027445394;-0,009685535;0,019548365;0,024424285;0,016697932
2005-07-04;-0,00083187;-0,016180901;0,002644628;-0,009536785;-0,009134396
2005-07-05;0,011100833;-0,005813953;-0,011210023;0,005488308;2,29891E-05
2005-07-06;-0,003568161;-0,02274204;0,014504835;-0,001340648;-0,015862069
2005-07-07;-0,021210174;-0,005319149;0,010682005;0,017109355;0,019621584
2005-07-08;0,017917448;-0,010695187;0,038211382;-0,01010101;0,005727377
2005-07-11;-0,004792185;0,009189189;-0,000783085;0,001360544;0,007972665
2005-07-12;0,018612834;0,014997322;0,003134796;0,004755435;0,010146893
2005-07-13;-0,001636364;0,009234828;0,0153125;-0,012576065;0,005615338
2005-07-14;-0,016572573;0,012941176;-0,007386888;0,01066831;-0,000222469
2005-07-15;-0,02962963;-0,006323397;-0,028682171;-0,013536769;-0,015242546
2005-07-18;-0,006679389;0,022077922;0,002394254;-0,002733517;0,010055361
2005-07-19;0,003842459;-0,007750953;0,021974522;0,008250575;-0,012304251
2005-07-20;0,004784689;0,003329492;0,018697414;-0,005464481;0,009943375
2005-07-21;0,012857143;-0,004467135;0,020036708;0,012348901;-0,002040862
2005-07-22;0,014574518;-0,002564103;0,009146799;0,001370439;-0,015686098
2005-07-25;-0,021316033;-0,048843188;-0,008766716;-0,017615176;-0,041118721
2005-07-26;0,003314394;0,027027027;0,0058462;0,009668966;0,007166837
2005-07-27;0,025578103;0,005263158;0,005961252;0,004084644;0,035460993
2005-07-28;0,016013252;0,006544503;0,007555555;0,023795918;0,03196347
2005-07-29;-0,012862319;-0,006501951;-0,015585943;-0,015269306;-0,002212389
2005-08-01;0,02073775;0,009816754;0,009708738;0,009446694;0,022649127
2005-08-02;0,022294139;0,031222031;0,019526627;0,002673797;0,03340564
2005-08-03;0,005979599;-0,025157233;0,00275682;0,006653333;-0,024370277
2005-08-04;-0,01048951;0,006322581;-0,015771958;-0,005284838;-0,014608748
2005-08-05;0,008833922;-0,013976151;-0,003969421;-0,001331558;-0,012008734
2005-08-08;0,01882662;0,033680104;0,02804428;-0,016;0,01878453
2005-08-09;0,015986248;0,056610894;0,019382627;0,024390244;0,00867679
2005-08-10;0,004991117;0,02393142;0,002676056;0;0,019354839
2005-08-11;0,011784512;-0,005813953;-0,012501756;0,005291005;-0,010675105
2005-08-12;0,018302829;0,005847953;0,004267425;0,005263158;-0,010534397
2005-08-15;0,004820261;0,015116279;0,015580737;-0,013089005;0,0385049
2005-08-16;-0,017806326;0,008018328;-0,023012552;0,013262599;-0,010438413
2005-08-17;-0,022350993;0,00625;-0,002712348;0,014397906;0,001265823
2005-08-18;0,00042337;-0,011857708;-0,016032064;-0,012180645;-0,013906448
2005-08-19;0,013965298;-0,026857143;0,011056154;-0,003343957;-0,026602564
2005-08-22;0,020033389;0,033470346;0,025323741;0,001310616;0,023378334
2005-08-23;-0,015466448;-0,012613636;-0,017962391;-0,005235602;0,002788503
2005-08-24;0,028177209;-0,044769248;-0,0211489;-1,31579E-05;0,017754011
2005-08-25;0,004042037;0,081325301;0,026423358;0,001328965;0,014922236
2005-08-26;-0,019243156;-0,020501393;-0,002417864;0,005243101;-0,018430317
2005-08-29;0,022083573;0,007848936;0,010835472;-0,009137374;0,016877637
2005-08-30;0,019678715;-0,001241535;-0,002820874;-0,014643799;0,004149378
2005-08-31;0,024025207;0,001469093;0,001414427;0,016200295;0,018595041
2005-09-01;-0,006153846;0,004287971;0,00960452;0,011857707;0,006716857
2005-09-02;-0,00619195;0,028748749;0,020425294;0,007682292;0,01177182
2005-09-05;0,012149533;0,004371585;0,014532492;0,015635095;0,009184365
2005-09-06;0,007386888;0,036887922;0,001351351;0,024173028;0,03940381
2005-09-07;;;;;
2005-09-08;;;;;
2005-09-09;0,034851727;0,015255129;0,019525424;-0,002427184;0,011538462
2005-09-12;0,004431315;0;-0,003856896;0,013381995;-0,00608365
2005-09-13;-0,010294118;-0,015544042;-0,010680908;-0,013265306;-0,034047437
2005-09-14;0,015750371;-0,017894737;0,009311741;0,002494069;-0,011881188
2005-09-15;0,004095963;0,033547696;0,020189865;-0,003033981;0,003206413
2005-09-16;0,013111888;-0,001762937;0,047968545;-0,003043214;0,010287655
2005-09-19;0,025309175;0,005609807;-0,006378189;-0,003663004;0,035986159
2005-09-20;0,00056101;0,024173554;0,000503461;0,003664216;0,015344976
2005-09-21;0,037566583;0,028545491;0,047427349;0,007338307;0,015808568
2005-09-22;-0,026209133;-0,009512602;0,004203699;0,002113593;-0,008142117
2005-09-23;-0,007214206;0,004158416;0,019016864;0,000183936;-3,73135E-05
2005-09-26;-0,016210173;0,000788799;0,007042254;-0,00079691;-0,004067316
2005-09-27;0,022159091;-0,012906404;-0,003496504;0,004907975;-0,023979018
2005-09-28;0,012229016;-0,001896397;0,007017544;0,015421245;0,003646833
2005-09-29;-0,024162548;0,008;0,006968641;-0,010377211;0,002103653
2005-09-30;0,003095104;0,021825397;0,001960784;0,014580802;0,016221374
2005-10-03;0,009817672;0,019417476;-0,000575573;0,029928144;0,027635312
2005-10-04;-0,038888889;0,028081911;-0,017392306;0,004662845;-0,001828154
2005-10-05;-0,053468208;-0,045323941;-0,0575548;-0,045023148;-0,031135531
2005-10-06;-0,038167939;-0,019514563;-0,03358209;-0,017076718;-0,02268431
2005-10-07;0,006349206;0,008515695;0,009009009;0,020949187;0,050096712
2005-10-10;-0,006309148;0,016691213;0,039795918;-0,008454106;-0,016577639
2005-10-11;0,019047619;0,042781265;0,01202159;-0,001705237;0,016107885
2005-10-12;;;;;
2005-10-13;;;;;
2005-10-14;-0,007006369;-0,019551189;0,010011405;-0,02484472;-0,00754498
2005-10-17;0,030788967;0,037328094;0,002841165;0,012738854;0,054580897
2005-10-18;-0,054138146;0;-0,026675176;-0,032704403;-0,036968577
2005-10-19;0,019736842;-0,034090909;0,003147128;-0,011703511;-0,029366603
2005-10-20;-0,049677419;-0,031862745;-0,032679739;-0,013157895;-0,029068618
2005-10-21;0,038017651;0,035949367;0,041216216;0,045333333;0,018329939
2005-10-24;0,055264879;0,006744868;0,036988968;0,008928571;0,042
2005-10-25;-0,00464828;9,70968E-05;-0,018773467;0,007585335;-0,034548944
2005-10-26;-0,00373599;-0,00184466;0,016709184;0,00250941;0,031809145
2005-10-27;-0,029375;-0,029277308;-0,008907289;-0,003754693;-0,026782274
2005-10-28;0,002897618;0,019038076;0,007594937;-0,010678392;0,013660661
2005-10-31;0,034028892;0,042084562;0,041331658;0,01968254;0,052929688
2005-11-01;0,015833592;0,047367428;0,024852214;0,009975093;-0,004435042
2005-11-02;;;;;
2005-11-03;;;;;
2005-11-04;-0,02827381;-0,007142857;-0,017981438;-0,014784748;0,004730369
2005-11-07;-0,009188361;0,01618705;0,008741878;0,011261205;0,010357815
2005-11-08;0,017001546;0,017699115;-0,005621267;0,005555556;0,021435228
2005-11-09;-0,001823708;0,008695652;-0,009421741;-0,005770411;0,003467153
