data,cdi,variacao_cdi,preco_petro,variacao_petro
2013-09-24,8.7,0,17.4,-0.0124858676228225
2013-09-25,8.81,0.01264367816091968,17.370001,-0.00172408045977012
2013-09-26,8.72,-0.010215664018161165,17.41,0.00230276325257561
2013-09-27,8.71,-0.0011467889908256636,17.33,-0.00459506031016668
2013-09-30,8.71,0,16.959999,-0.0213503173687247
2013-10-01,8.71,0,17.34,0.0224057206607147
2013-10-02,8.7,-0.0011481056257177454,17.280001,-0.00346014994232995
2013-10-03,8.7,0,17.17,-0.00636579824271983
2013-10-04,8.83,0.014942528735632276,17.389999,0.012812987769365
2013-10-07,8.81,-0.002265005662514108,17.299999,-0.00517538845171871
2013-10-08,8.81,0,16.92,-0.0219652613852751
2013-10-09,8.85,0.00454029511918265,16.83,-0.00531914893617041
2013-10-10,9.36,0.057627118644067776,17.02,0.0112893642305408
2013-10-11,9.32,-0.004273504273504183,17,-0.00117508813160985
2013-10-14,9.35,0.0032188841201716053,17.07,0.00411764705882355
2013-10-15,9.35,0,17.15,0.00468658465143517
2013-10-16,9.35,0,16.98,-0.00991253644314858
2013-10-17,9.35,0,17.01,0.00176678445229689
2013-10-18,9.32,-0.003208556149732552,16.860001,-0.00881828336272787
2013-10-21,9.35,0.0032188841201716053,17.690001,0.0492289413268717
2013-10-22,9.35,0,17.4,-0.0163934982253534
2013-10-23,9.32,-0.003208556149732552,17.09,-0.0178160919540229
2013-10-24,9.32,0,17.059999,-0.00175547103569331
2013-10-25,9.32,0,17.299999,0.0140679961352869
2013-10-28,9.32,0,19,0.0982659594373387
2013-10-29,9.32,0,18.870001,-0.00684205263157903
2013-10-30,9.32,0,18.959999,0.00476936911662068
2013-10-31,9.32,0,19.540001,0.0305908243982503
2013-11-01,9.32,0,19.040001,-0.0255885350261753
2013-11-04,9.28,-0.004291845493562331,19.5,0.0241596100756507
2013-11-05,9.28,0,19.4,-0.0051282051282052
2013-11-06,9.28,0,19.6,0.0103092783505156
2013-11-07,9.28,0,19.15,-0.0229591836734695
2013-11-08,9.28,0,18.75,-0.02088772845953
2013-11-11,9.28,0,19.299999,0.02933328
2013-11-12,9.28,0,18.610001,-0.035751193562238
2013-11-13,9.28,0,19.09,0.025792529511417
2013-11-14,9.28,0,19.6,0.0267155578837088
2013-11-18,9.28,0,20.34,0.0377551020408162
2013-11-19,9.28,0,20.040001,-0.0147492133726647
2013-11-21,9.28,0,20.01,-0.0014970558135201
2013-11-22,9.28,0,19.82,-0.00949525237381316
2013-11-25,9.28,0,19.450001,-0.018667961654894
2013-11-26,9.28,0,18.200001,-0.0642673488808561
2013-11-27,9.28,0,18.23,0.00164829661273096
2013-11-28,9.77,0.052801724137931064,17.73,-0.0274273176083379
2013-11-29,9.77,0,18.32,0.0332769317540891
2013-12-02,9.77,0,16.42,-0.103711790393013
2013-12-03,9.77,0,16.57,0.00913520097442135
2013-12-04,9.77,0,16.549999,-0.00120706095353051
2013-12-05,9.77,0,16.5,-0.0030210877958361
2013-12-06,9.76,-0.001023541453428842,16.15,-0.0212121212121213
2013-12-09,9.85,0.009221311475409822,16.27,0.0074303405572756
2013-12-10,9.77,-0.00812182741116752,16.120001,-0.0092193607867241
2013-12-11,9.77,0,15.66,-0.0285360404133969
